cvegeomun,nom_juri,cvegeojuri
"12044",CENTRO,"1203"
"12045",MONTAÑA,"1204"
"12046",COSTA CHICA,"1206"
"12047",NORTE,"1202"
"12048",COSTA GRANDE,"1205"
"12049",NORTE,"1202"
"12050",TIERRA CALIENTE,"1201"
"12051",CENTRO,"1203"
"12052",COSTA CHICA,"1206"
"12053",COSTA CHICA,"1206"
"12054",TIERRA CALIENTE,"1201"
"12055",NORTE,"1202"
"12056",COSTA CHICA,"1206"
"12057",COSTA GRANDE,"1205"
"12058",NORTE,"1202"
"12059",NORTE,"1202"
"12060",NORTE,"1202"
"12061",CENTRO,"1203"
"12062",COSTA CHICA,"1206"
"12063",MONTAÑA,"1204"
"12064",TIERRA CALIENTE,"1201"
"12065",MONTAÑA,"1204"
"12066",MONTAÑA,"1204"
"12067",TIERRA CALIENTE,"1201"
"12068",COSTA GRANDE,"1205"
"12069",MONTAÑA,"1204"
"12070",MONTAÑA,"1204"
"12071",COSTA CHICA,"1206"
"12072",MONTAÑA,"1204"
"12073",TIERRA CALIENTE,"1201"
"12074",CENTRO,"1203"
"12075",CENTRO,"1203"
"12076",MONTAÑA,"1204"
"12077",COSTA CHICA,"1206"
"12078",MONTAÑA,"1204"
"12079",CENTRO,"1203"
"12080",COSTA CHICA,"1206"
"12081",MONTAÑA,"1204"
"13001",ATOTONILCO,"1315"
"13002",OTOMÍ TEPEHUA,"1313"
"13003",ACTOPAN,"1307"
"13004",OTOMÍ TEPEHUA,"1313"
"13005",TEPEJI,"1314"
"13006",IXMIQUILPAN,"1306"
"13007",APAN,"1311"
"13008",APAN,"1311"
"13009",ACTOPAN,"1307"
"13010",TEPEJI,"1314"
"13011",HUEJUTLA,"1310"
"13012",ATOTONILCO,"1315"
"13013",TEPEJI,"1314"
"13014",MOLANGO,"1309"
"13015",IXMIQUILPAN,"1306"
"13016",TULANCINGO,"1302"
"13017",HUICHAPAN,"1304"
"13018",JACALA,"1316"
"13019",IXMIQUILPAN,"1306"
"13020",METZTITLÁN,"1308"
"13021",APAN,"1311"
"13022",PACHUCA,"1301"
"13023",ACTOPAN,"1307"
"13024",ATOTONILCO,"1315"
"13025",HUEJUTLA,"1310"
"13026",MOLANGO,"1309"
"13027",OTOMÍ TEPEHUA,"1313"
"13028",HUEJUTLA,"1310"
"13029",HUICHAPAN,"1304"
"13030",IXMIQUILPAN,"1306"
"13031",JACALA,"1316"
"13032",HUEJUTLA,"1310"
"13033",METZTITLÁN,"1308"
"13034",MOLANGO,"1309"
"13035",OTOMÍ TEPEHUA,"1313"
"13036",METZTITLÁN,"1308"
"13037",METZTITLÁN,"1308"
"13038",ATOTONILCO,"1315"
